FONTS.md	FONTS	/		658	
README.md	README	/		10663	
佛藏/乾隆藏/大乘五大部外重译经/一切法高王经.md	一切法高王经	/佛藏/乾隆藏/大乘五大部外重译经		30991	
佛藏/乾隆藏/大乘五大部外重译经/七俱胝佛母所说准提陀罗尼经.md	七俱胝佛母所说准提陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]不空	29595	cbeta:T1076;kanripo:KR6j0283/CBETA|KR6j0283/T|KR6j0283/TKD
佛藏/乾隆藏/大乘五大部外重译经/不必定入定入印经.md	不必定入定入印经	/佛藏/乾隆藏/大乘五大部外重译经	[元魏]瞿昙般若流支	32366	cbeta:T0645;kanripo:KR6i0282/CBETA|KR6i0282/T|KR6i0282/TKD
佛藏/乾隆藏/大乘五大部外重译经/不空罥索咒心经.md	不空罥索咒心经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]菩提流志	19674	
佛藏/乾隆藏/大乘五大部外重译经/不空罥索心咒王经.md	不空罥索心咒王经	/佛藏/乾隆藏/大乘五大部外重译经		50460	
佛藏/乾隆藏/大乘五大部外重译经/不空罥索神变真言经.md	不空罥索神变真言经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]菩提流志	840581	
佛藏/乾隆藏/大乘五大部外重译经/不空罥索神咒心经.md	不空罥索神咒心经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]玄奘	18387	
佛藏/乾隆藏/大乘五大部外重译经/不空罥索陀罗尼经.md	不空罥索陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]李无诏	56742	
佛藏/乾隆藏/大乘五大部外重译经/不退转法轮经.md	不退转法轮经	/佛藏/乾隆藏/大乘五大部外重译经		129839	cbeta:T0267;kanripo:KR6d0106/CBETA|KR6d0106/T|KR6d0106/TKD
佛藏/乾隆藏/大乘五大部外重译经/东方最胜灯王如来助护持世间神咒经.md	东方最胜灯王如来助护持世间神咒经	/佛藏/乾隆藏/大乘五大部外重译经		20495	
佛藏/乾隆藏/大乘五大部外重译经/伅真陀罗所问宝如来三昧经.md	伅真陀罗所问宝如来三昧经	/佛藏/乾隆藏/大乘五大部外重译经		98114	
佛藏/乾隆藏/大乘五大部外重译经/伽耶山顶经.md	伽耶山顶经	/佛藏/乾隆藏/大乘五大部外重译经	[元魏]菩提流支	16057	cbeta:T0465;kanripo:KR6i0066/CBETA|KR6i0066/T|KR6i0066/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛为胜光天子说王法经.md	佛为胜光天子说王法经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]义净	10042	
佛藏/乾隆藏/大乘五大部外重译经/佛升忉利天为母说法经.md	佛升忉利天为母说法经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	60749	
佛藏/乾隆藏/大乘五大部外重译经/佛母大孔雀明王经.md	佛母大孔雀明王经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]不空	99876	cbeta:T0982;kanripo:KR6j0167/CBETA|KR6j0167/T|KR6j0167/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说一向出生菩萨经.md	佛说一向出生菩萨经	/佛藏/乾隆藏/大乘五大部外重译经	[隋]阇那崛多	20988	cbeta:T1017;kanripo:KR6j0210/CBETA|KR6j0210/T|KR6j0210/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说七俱胝佛母准提大明陀罗尼经.md	佛说七俱胝佛母准提大明陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]金刚智	25666	cbeta:T1075;kanripo:KR6j0282/CBETA|KR6j0282/T|KR6j0282/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说七俱胝佛母心大准提陀罗尼经.md	佛说七俱胝佛母心大准提陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]地婆诃罗	6487	cbeta:T1077;ctext:ctp:wb943448;kanripo:KR6j0284/CBETA|KR6j0284/T|KR6j0284/TKD;wikisource:https://zh.wikisource.org/wiki/%E4%BD%9B%E8%AA%AA%E4%B8%83%E4%BF%B1%E8%83%9D%E4%BD%9B%E6%AF%8D%E5%BF%83%E5%A4%A7%E5%87%86%E6%8F%90%E9%99%80%E7%BE%85%E5%B0%BC%E7%B6%93
佛藏/乾隆藏/大乘五大部外重译经/佛说不空罥索咒经.md	佛说不空罥索咒经	/佛藏/乾隆藏/大乘五大部外重译经		18209	
佛藏/乾隆藏/大乘五大部外重译经/佛说乐璎珞庄严方便经.md	佛说乐璎珞庄严方便经	/佛藏/乾隆藏/大乘五大部外重译经		42748	
佛藏/乾隆藏/大乘五大部外重译经/佛说九色鹿经.md	佛说九色鹿经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	3945	cbeta:T0181b;kanripo:KR6b0036/CBETA|KR6b0036/T
佛藏/乾隆藏/大乘五大部外重译经/佛说乳光佛经.md	佛说乳光佛经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	10159	cbeta:T0809;kanripo:KR6i0515/CBETA|KR6i0515/T|KR6i0515/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说了本生死经.md	佛说了本生死经	/佛藏/乾隆藏/大乘五大部外重译经		7791	
佛藏/乾隆藏/大乘五大部外重译经/佛说佛顶尊胜陀罗尼经.md	佛说佛顶尊胜陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]义净	12859	cbeta:T0971;kanripo:KR6j0148/CBETA|KR6j0148/T|KR6j0148/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说作佛形像经.md	佛说作佛形像经	/佛藏/乾隆藏/大乘五大部外重译经		4131	cbeta:T0692;kanripo:KR6i0382/CBETA|KR6i0382/T|KR6i0382/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说八佛名号经.md	佛说八佛名号经	/佛藏/乾隆藏/大乘五大部外重译经		6876	
佛藏/乾隆藏/大乘五大部外重译经/佛说八吉祥神咒经.md	佛说八吉祥神咒经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	5043	
佛藏/乾隆藏/大乘五大部外重译经/佛说八吉祥经.md	佛说八吉祥经	/佛藏/乾隆藏/大乘五大部外重译经		4089	
佛藏/乾隆藏/大乘五大部外重译经/佛说八阳神咒经.md	佛说八阳神咒经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	4441	
佛藏/乾隆藏/大乘五大部外重译经/佛说决定总持经.md	佛说决定总持经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	14266	cbeta:T0811;kanripo:KR6i0517/CBETA|KR6i0517/T|KR6i0517/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说出生无量门持经.md	佛说出生无量门持经	/佛藏/乾隆藏/大乘五大部外重译经	[东晋]佛陀跋陀罗	12772	cbeta:T1012;kanripo:KR6j0205/CBETA|KR6j0205/T|KR6j0205/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说前世三转经.md	佛说前世三转经	/佛藏/乾隆藏/大乘五大部外重译经		10059	
佛藏/乾隆藏/大乘五大部外重译经/佛说十一面观世音神咒经.md	佛说十一面观世音神咒经	/佛藏/乾隆藏/大乘五大部外重译经	[北周]耶舍崛多	14710	
佛藏/乾隆藏/大乘五大部外重译经/佛说善恭敬经.md	佛说善恭敬经	/佛藏/乾隆藏/大乘五大部外重译经		10629	
佛藏/乾隆藏/大乘五大部外重译经/佛说大乘同性经.md	佛说大乘同性经	/佛藏/乾隆藏/大乘五大部外重译经		59883	
佛藏/乾隆藏/大乘五大部外重译经/佛说大乘四法经.md	佛说大乘四法经	/佛藏/乾隆藏/大乘五大部外重译经		1932	
佛藏/乾隆藏/大乘五大部外重译经/佛说大乘百福庄严相经.md	佛说大乘百福庄严相经	/佛藏/乾隆藏/大乘五大部外重译经		13001	
佛藏/乾隆藏/大乘五大部外重译经/佛说大乘百福相经.md	佛说大乘百福相经	/佛藏/乾隆藏/大乘五大部外重译经		10841	
佛藏/乾隆藏/大乘五大部外重译经/佛说大净法门品经.md	佛说大净法门品经	/佛藏/乾隆藏/大乘五大部外重译经		40323	
佛藏/乾隆藏/大乘五大部外重译经/佛说大威灯光仙人问疑经.md	佛说大威灯光仙人问疑经	/佛藏/乾隆藏/大乘五大部外重译经		24114	
佛藏/乾隆藏/大乘五大部外重译经/佛说大孔雀咒王经.md	佛说大孔雀咒王经	/佛藏/乾隆藏/大乘五大部外重译经	[唐]义净	86724	
佛藏/乾隆藏/大乘五大部外重译经/佛说大孔雀王杂神咒经.md	佛说大孔雀王杂神咒经	/佛藏/乾隆藏/大乘五大部外重译经		13629	
佛藏/乾隆藏/大乘五大部外重译经/佛说大孔雀王神咒经.md	佛说大孔雀王神咒经	/佛藏/乾隆藏/大乘五大部外重译经		6525	
佛藏/乾隆藏/大乘五大部外重译经/佛说大方广师子吼经.md	佛说大方广师子吼经	/佛藏/乾隆藏/大乘五大部外重译经		7770	
佛藏/乾隆藏/大乘五大部外重译经/佛说大方等大云请雨经.md	佛说大方等大云请雨经	/佛藏/乾隆藏/大乘五大部外重译经		28660	
佛藏/乾隆藏/大乘五大部外重译经/入楞伽经.md	入楞伽经	/佛藏/乾隆藏/大乘五大部外重译经	[元魏]菩提流支	326965	cbeta:T0671;kanripo:KR6i0328/CBETA|KR6i0328/T|KR6i0328/TKD
