为	為	爲
众	眾	衆
匯	汇	滙
岁	嵗	歲
录	錄	録
缽	鉢	钵
跡	蹟	迹
針	鍼	针
隶	隷	隸
万	萬
与	與
丑	醜
专	專
业	業
丛	叢
东	東
丝	絲
两	兩
严	嚴
並	并
丰	豐
临	臨
丽	麗
举	舉
么	麼
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
乾	干
了	瞭
争	爭
于	於
云	雲
产	產
亩	畝
亲	親
亿	億
从	從
仑	崙
仓	倉
仪	儀
优	優
会	會
伞	傘
传	傳
伤	傷
伦	倫
伪	僞
佈	布
体	體
佔	占
余	餘
佥	僉
來	来
侠	俠
侣	侶
侨	僑
俨	儼
俪	儷
倖	幸
倾	傾
傑	杰
備	备
储	儲
儿	兒
兇	凶
兌	兑
党	黨
內	内
兰	蘭
关	關
兴	興
养	養
兽	獸
冈	岡
冊	册
写	寫
军	軍
农	農
冡	冢
冯	馮
冲	沖
决	決
况	況
净	淨
准	準
凉	涼
减	減
凑	湊
几	幾
凤	鳳
凫	鳧
击	擊
凿	鑿
刍	芻
刘	劉
则	則
刚	剛
创	創
删	刪
別	别
制	製
刹	剎
剂	劑
剑	劍
剧	劇
劝	勸
办	辦
务	務
动	動
励	勵
劳	勞
势	勢
勋	勳
勝	胜
匮	匱
区	區
医	醫
升	昇
华	華
协	協
单	單
卢	盧
卧	臥
卫	衛
却	卻
卷	捲
厂	廠
厅	廳
历	歷
压	壓
厌	厭
厘	釐
厢	廂
厦	廈
厨	廚
县	縣
参	參
双	雙
发	發
变	變
叙	敘
叠	疊
台	臺
叶	葉
号	號
叹	嘆
同	衕
后	後
吒	咤
吕	呂
听	聽
启	啓
吳	吴
呓	囈
呗	唄
员	員
周	週
呪	咒
咏	詠
咨	諮
响	響
唸	念
問	问
啰	囉
啸	嘯
嘗	尝
嘱	囑
噜	嚕
回	迴
团	團
园	園
围	圍
国	國
图	圖
圆	圓
圣	聖
场	場
坏	壞
坚	堅
坛	壇
坟	墳
垒	壘
垦	墾
執	执
堕	墮
堯	尧
報	报
塗	涂
塵	尘
墙	牆
壮	壯
声	聲
壶	壺
壽	寿
处	處
复	復
夐	敻
夢	梦
头	頭
夹	夾
奁	奩
奋	奮
奥	奧
妆	妝
妇	婦
妈	媽
姜	薑
娇	嬌
娛	娱
娲	媧
婴	嬰
孙	孫
学	學
宁	寧
宝	寶
实	實
审	審
宪	憲
宫	宮
宽	寬
宾	賓
对	對
寻	尋
导	導
将	將
尔	爾
尸	屍
尽	盡
层	層
属	屬
屿	嶼
岂	豈
岘	峴
岚	嵐
岛	島
岩	巖
岭	嶺
岳	嶽
峤	嶠
峥	崢
峦	巒
峯	峰
崑	昆
巨	鉅
巩	鞏
帅	帥
师	師
帘	簾
帜	幟
带	帶
帮	幫
广	廣
庄	莊
庆	慶
床	牀
庐	廬
庑	廡
库	庫
应	應
庙	廟
庞	龐
废	廢
庵	菴
廩	廪
开	開
异	異
张	張
弥	彌
弦	絃
強	强
弹	彈
归	歸
当	當
彥	彦
彻	徹
征	徵
径	徑
徕	徠
徧	遍
忆	憶
忏	懺
志	誌
忧	憂
怀	懷
态	態
怃	憮
怜	憐
总	總
恆	恒
恋	戀
恥	耻
恶	惡
恸	慟
恼	惱
悅	悦
悫	愨
悬	懸
悶	闷
惊	驚
惨	慘
愛	爱
愠	慍
愤	憤
愿	願
慾	欲
懒	懶
戏	戲
战	戰
戶	户
扪	捫
扫	掃
扬	揚
折	摺
抚	撫
护	護
担	擔
拟	擬
拣	揀
拨	撥
择	擇
挞	撻
挥	揮
损	損
捣	搗
捨	舍
据	據
採	采
掳	擄
揽	攬
搖	摇
携	攜
摄	攝
撄	攖
撷	擷
敌	敵
敎	教
敗	败
敛	斂
数	數
斃	毙
斋	齋
斗	鬥
斩	斬
断	斷
无	無
既	旣
旧	舊
时	時
昙	曇
昼	晝
显	顯
晉	晋
晓	曉
晖	暉
曲	麴
术	術
朱	硃
朴	樸
机	機
杀	殺
杂	雜
权	權
条	條
杨	楊
极	極
枢	樞
枣	棗
枫	楓
柜	櫃
标	標
栋	棟
栎	櫟
树	樹
栖	棲
样	樣
栾	欒
桢	楨
档	檔
桥	橋
桧	檜
梼	檮
检	檢
楼	樓
概	槩
榈	櫚
榮	荣
横	橫
樱	櫻
欢	歡
欧	歐
欽	钦
残	殘
毂	轂
毕	畢
气	氣
氾	泛
汉	漢
汤	湯
沈	瀋
沒	没
沟	溝
沧	滄
沩	潙
沪	滬
注	註
泪	淚
泻	瀉
泽	澤
泾	涇
洁	潔
浅	淺
测	測
济	濟
浑	渾
浒	滸
浓	濃
浔	潯
涌	湧
涛	濤
涤	滌
润	潤
涧	澗
淵	渊
渎	瀆
渐	漸
渑	澠
渔	漁
温	溫
游	遊
湾	灣
滅	灭
滎	荥
满	滿
滥	濫
滦	灤
滨	濱
潁	颍
潛	潜
澜	瀾
濒	瀕
灯	燈
灵	靈
灶	竈
災	灾
灿	燦
炀	煬
炉	爐
炖	燉
点	點
炼	煉
炽	熾
烛	燭
烟	煙
烬	燼
热	熱
營	营
牍	牘
犊	犢
状	狀
犹	猶
独	獨
狮	獅
狱	獄
猫	貓
献	獻
獲	获
玑	璣
玛	瑪
玮	瑋
环	環
现	現
玺	璽
琐	瑣
琼	瓊
瑤	瑶
瑩	莹
璎	瓔
瓮	甕
瓯	甌
电	電
画	畫
畴	疇
疗	療
疟	瘧
疠	癘
疡	瘍
疮	瘡
疯	瘋
疴	痾
痴	癡
皱	皺
盏	盞
盐	鹽
监	監
盖	蓋
盗	盜
盘	盤
矫	矯
矶	磯
砚	硯
砺	礪
硕	碩
确	確
碍	礙
礼	禮
祕	秘
祯	禎
祷	禱
祸	禍
祿	禄
禅	禪
离	離
禿	秃
种	種
积	積
称	稱
秽	穢
稅	税
穀	谷
